# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Differential $0 \to 1$ jet resolution in $W^++$jets
RatioPlotReference=//home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp_max_9.yoda/PP_JetRates/log10_d_01
YLabel=$\text{d}\sigma/\text{d}\log_{10}(d_{01}/\text{GeV})$ [pb]
RatioPlot=1
LogY=1
RatioPlotYLabel=Fraction
RatioPlotYMin=0
RatioPlotYMax=1
XMin=0.25
XMax=3.25
LegendXPos=0.775
LegendYPos=0.925
YMin=2e-2
YMax=2e4
LegendOnly=//home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp_max_9.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp0-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp2-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp4-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp6-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp8.yoda/PP_JetRates/log10_d_01
XLabel=$\log_{10}(d_{01}/\text{GeV})$
RatioPlotSameStyle=1
DrawOnly=//home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp_max_9.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp0-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp1-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp2-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp3-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp4-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp5-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp6-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp7.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp8.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp9.yoda/PP_JetRates/log10_d_01
Legend=1
# END PLOT

# BEGIN HISTO1D //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp_max_9.yoda/PP_JetRates/log10_d_01
LineColor=black
LineStyle=solid
Path=//home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp_max_9.yoda/PP_JetRates/log10_d_01
Title=${\rm sum}$
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.845098e-02	7.869828e+03	6.288500e+00	6.288500e+00
3.845098e-02	7.690196e-02	8.845686e+03	6.816615e+00	6.816615e+00
7.690196e-02	1.153529e-01	9.303718e+03	7.021120e+00	7.021120e+00
1.153529e-01	1.538039e-01	9.347819e+03	6.882254e+00	6.882254e+00
1.538039e-01	1.922549e-01	9.199225e+03	7.016780e+00	7.016780e+00
1.922549e-01	2.307059e-01	8.905511e+03	6.643511e+00	6.643511e+00
2.307059e-01	2.691569e-01	8.540800e+03	6.731158e+00	6.731158e+00
2.691569e-01	3.076078e-01	8.193426e+03	6.342448e+00	6.342448e+00
3.076078e-01	3.460588e-01	7.915313e+03	6.201379e+00	6.201379e+00
3.460588e-01	3.845098e-01	7.707742e+03	6.160399e+00	6.160399e+00
3.845098e-01	4.229608e-01	7.570245e+03	6.072432e+00	6.072432e+00
4.229608e-01	4.614118e-01	7.511467e+03	6.024474e+00	6.024474e+00
4.614118e-01	4.998627e-01	7.512558e+03	6.088682e+00	6.088682e+00
4.998627e-01	5.383137e-01	7.536670e+03	6.029297e+00	6.029297e+00
5.383137e-01	5.767647e-01	7.596765e+03	6.064050e+00	6.064050e+00
5.767647e-01	6.152157e-01	7.654898e+03	6.069526e+00	6.069526e+00
6.152157e-01	6.536667e-01	7.723773e+03	6.085426e+00	6.085426e+00
6.536667e-01	6.921176e-01	7.791836e+03	6.123907e+00	6.123907e+00
6.921176e-01	7.305686e-01	7.839864e+03	6.117068e+00	6.117068e+00
7.305686e-01	7.690196e-01	7.900580e+03	6.124272e+00	6.124272e+00
7.690196e-01	8.074706e-01	7.917225e+03	6.108760e+00	6.108760e+00
8.074706e-01	8.459216e-01	7.930961e+03	6.097393e+00	6.097393e+00
8.459216e-01	8.843725e-01	7.919068e+03	6.067405e+00	6.067405e+00
8.843725e-01	9.228235e-01	7.877457e+03	6.012332e+00	6.012332e+00
9.228235e-01	9.612745e-01	7.795516e+03	5.938143e+00	5.938143e+00
9.612745e-01	9.997255e-01	7.679309e+03	5.917748e+00	5.917748e+00
9.997255e-01	1.038176e+00	7.528945e+03	5.698485e+00	5.698485e+00
1.038176e+00	1.076627e+00	7.343585e+03	5.539250e+00	5.539250e+00
1.076627e+00	1.115078e+00	7.113058e+03	5.342615e+00	5.342615e+00
1.115078e+00	1.153529e+00	6.875920e+03	5.111089e+00	5.111089e+00
1.153529e+00	1.191980e+00	6.603225e+03	4.821262e+00	4.821262e+00
1.191980e+00	1.230431e+00	6.307136e+03	4.500328e+00	4.500328e+00
1.230431e+00	1.268882e+00	6.007399e+03	5.332950e+00	5.332950e+00
1.268882e+00	1.307333e+00	5.683277e+03	3.932614e+00	3.932614e+00
1.307333e+00	1.345784e+00	5.363941e+03	4.412408e+00	4.412408e+00
1.345784e+00	1.384235e+00	5.012226e+03	3.687543e+00	3.687543e+00
1.384235e+00	1.422686e+00	4.663000e+03	3.756275e+00	3.756275e+00
1.422686e+00	1.461137e+00	4.299228e+03	3.236653e+00	3.236653e+00
1.461137e+00	1.499588e+00	3.924272e+03	3.160878e+00	3.160878e+00
1.499588e+00	1.538039e+00	3.547408e+03	2.711307e+00	2.711307e+00
1.538039e+00	1.576490e+00	3.186596e+03	2.648836e+00	2.648836e+00
1.576490e+00	1.614941e+00	2.835604e+03	2.431112e+00	2.431112e+00
1.614941e+00	1.653392e+00	2.505844e+03	2.217232e+00	2.217232e+00
1.653392e+00	1.691843e+00	2.197015e+03	2.103987e+00	2.103987e+00
1.691843e+00	1.730294e+00	1.908186e+03	1.847430e+00	1.847430e+00
1.730294e+00	1.768745e+00	1.643497e+03	1.655843e+00	1.655843e+00
1.768745e+00	1.807196e+00	1.405672e+03	1.520237e+00	1.520237e+00
1.807196e+00	1.845647e+00	1.195353e+03	1.569137e+00	1.569137e+00
1.845647e+00	1.884098e+00	1.005367e+03	1.319588e+00	1.319588e+00
1.884098e+00	1.922549e+00	8.406866e+02	1.146320e+00	1.146320e+00
1.922549e+00	1.961000e+00	6.976240e+02	1.004015e+00	1.004015e+00
1.961000e+00	1.999451e+00	5.747825e+02	9.213822e-01	9.213822e-01
1.999451e+00	2.037902e+00	4.700135e+02	9.043243e-01	9.043243e-01
2.037902e+00	2.076353e+00	3.801441e+02	7.543778e-01	7.543778e-01
2.076353e+00	2.114804e+00	3.044483e+02	6.262454e-01	6.262454e-01
2.114804e+00	2.153255e+00	2.436173e+02	5.817024e-01	5.817024e-01
2.153255e+00	2.191706e+00	1.931886e+02	5.164131e-01	5.164131e-01
2.191706e+00	2.230157e+00	1.511958e+02	4.390534e-01	4.390534e-01
2.230157e+00	2.268608e+00	1.187856e+02	3.784294e-01	3.784294e-01
2.268608e+00	2.307059e+00	9.166805e+01	3.284749e-01	3.284749e-01
2.307059e+00	2.345510e+00	7.062898e+01	3.100125e-01	3.100125e-01
2.345510e+00	2.383961e+00	5.389009e+01	2.473879e-01	2.473879e-01
2.383961e+00	2.422412e+00	4.147830e+01	2.187240e-01	2.187240e-01
2.422412e+00	2.460863e+00	3.150886e+01	2.604979e-01	2.604979e-01
2.460863e+00	2.499314e+00	2.340724e+01	1.580308e-01	1.580308e-01
2.499314e+00	2.537765e+00	1.731804e+01	1.333433e-01	1.333433e-01
2.537765e+00	2.576216e+00	1.295455e+01	1.113188e-01	1.113188e-01
2.576216e+00	2.614667e+00	9.454032e+00	9.443012e-02	9.443012e-02
2.614667e+00	2.653118e+00	6.929024e+00	8.016982e-02	8.016982e-02
